# UV350AG,,,
# ,6 DEG,30 DEG,45 DEG
1866,97.957531,98.232326,98.036001
1865,97.806975,98.26539,97.983566
1864,97.840811,98.394835,98.048487
1863,97.898023,98.153256,98.010387
1862,97.832088,98.25429,98.248897
1861,97.788832,98.260954,97.75414
1860,97.781337,98.240797,97.878286
1859,97.864047,98.280023,98.019697
1858,97.838121,98.315616,97.952352
1857,97.829956,98.256642,98.00272
1856,97.915445,98.300622,98.054905
1855,97.931101,98.270396,98.025928
1854,97.935464,98.275784,97.991017
1853,97.904972,98.225414,97.953433
1852,97.911533,98.26172,98.02051
1851,97.937928,98.250786,98.03671
1850,97.817988,98.228964,97.980216
1849,97.798073,98.182109,98.030986
1848,97.801668,98.268091,97.981551
1847,97.750713,98.281994,98.056163
1846,97.793922,98.231271,97.974962
1845,97.87647,98.275042,97.71441
1844,97.940418,98.074784,98.224271
1843,97.93547,98.183174,98.025297
1842,97.911553,98.217084,98.070057
1841,97.806269,98.208578,98.160424
1840,97.70844,98.228784,98.016484
1839,97.738892,98.214006,98.115387
1838,97.776374,98.234308,98.152982
1837,97.820124,98.210714,97.934712
1836,97.83463,98.158856,98.00666
1835,97.787942,98.215975,97.990206
1834,97.860153,98.230232,97.997745
1833,97.925662,98.262837,97.926759
1832,97.821461,98.253172,98.007798
1831,97.836617,98.264865,98.002771
1830,97.897915,98.253132,98.054083
1829,98.004831,98.22025,98.01599
1828,97.918067,98.167965,97.482813
1827,97.872803,98.143483,97.948558
1826,97.843604,98.259819,97.991694
1825,97.813086,98.259957,98.254649
1824,97.796843,98.251655,98.05358
1823,97.789141,98.341438,98.062925
1822,97.7904,98.292389,97.913079
1821,97.772857,98.215555,97.970706
1820,97.766679,98.091916,97.87278
1819,97.808879,98.286182,97.938393
1818,97.795713,98.269585,98.000534
1817,97.762574,98.253634,97.982533
1816,97.720713,98.264337,98.024808
1815,97.736756,98.288978,97.997727
1814,97.700962,98.26834,97.990318
1813,97.58766,98.264169,98.005055
1812,97.497178,98.251202,97.973822
1811,97.514705,98.25657,97.941345
1810,97.567478,98.268817,97.97195
1809,97.664696,98.283601,97.885736
1808,97.795187,98.293055,98.004303
1807,97.681386,98.258603,97.968988
1806,97.704728,98.220567,97.999407
1805,97.707743,98.215407,97.996981
1804,97.712157,98.266397,98.047839
1803,97.664154,98.298996,98.023933
1802,97.643073,98.33323,97.917746
1801,97.650219,98.329303,98.055665
1800,97.684624,98.222859,98.006959
1799,97.667557,98.199787,98.025299
1798,97.667153,98.218857,98.002455
1797,97.749983,98.245125,98.016683
1796,97.855475,98.256072,98.016821
1795,97.828583,98.261648,97.997548
1794,97.77575,98.276967,98.000299
1793,97.822428,98.288515,98.002108
1792,97.869671,98.295167,98.013081
1791,97.86397,98.246688,98.029209
1790,97.902635,98.241645,97.984241
1789,97.85027,98.244206,97.991963
1788,97.84205,98.269459,98.008881
1787,97.844475,98.272285,97.997294
1786,97.779807,98.291022,98.013592
1785,97.772606,98.257666,97.971147
1784,97.772111,98.25327,97.980988
1783,97.804224,98.262661,97.978411
1782,97.825674,98.264934,98.069837
1781,97.857848,98.279543,97.938518
1780,97.83546,98.301677,98.005415
1779,97.817741,98.268199,97.992608
1778,97.821014,98.274423,97.958766
1777,97.797033,98.291897,97.977624
1776,97.767408,98.293349,97.982979
1775,97.802849,98.3016,98.018839
1774,97.778964,98.299981,98.021211
1773,97.724275,98.31161,98.002864
1772,97.776321,98.280881,97.976688
1771,97.864936,98.264292,97.980544
1770,97.899345,98.279387,97.990541
1769,97.837617,98.271947,97.997047
1768,97.895533,98.287515,98.012499
1767,97.885864,98.276495,98.025876
1766,97.79948,98.291866,98.004137
1765,97.825159,98.327305,97.995903
1764,97.921147,98.28712,98.017799
1763,97.941188,98.274369,98.000022
1762,97.956594,98.280188,97.97708
1761,97.983219,98.271226,98.028526
1760,98.036772,98.274456,98.028246
1759,98.102006,98.28627,98.022115
1758,98.08393,98.288651,98.011992
1757,98.002018,98.270952,98.02167
1756,98.019387,98.251087,97.987071
1755,98.034152,98.262825,97.985982
1754,97.950097,98.272997,98.001455
1753,97.933502,98.273982,97.99781
1752,97.874101,98.273565,98.025869
1751,97.758139,98.296093,98.005958
1750,97.69411,98.291121,97.978868
1749,97.765497,98.295981,97.985812
1748,97.899324,98.298056,97.990989
1747,97.884572,98.297206,98.019117
1746,97.845696,98.305458,98.025662
1745,97.872572,98.320941,98.03923
1744,97.83519,98.323029,98.016138
1743,97.785678,98.29968,97.986991
1742,97.721906,98.304703,97.973932
1741,97.695772,98.302071,97.989036
1740,97.780666,98.299006,98.023174
1739,97.824259,98.300746,98.031015
1738,97.841643,98.312441,98.021371
1737,97.872027,98.313155,97.997328
1736,97.83663,98.283433,97.995866
1735,97.746038,98.276437,98.019008
1734,97.687561,98.3126,98.009033
1733,97.703272,98.326304,98.000026
1732,97.755765,98.365565,98.0205
1731,97.745495,98.338169,98.0368
